"ID","niscode","twtot","TOTAALBEV","DENSITEIT","diff","aandeel","originID.x","destID.x","oX","oY","stay","originID.y","move_to","destID.y","move_from","resident","inflow","outflow","resident255","inflow255","outflow255"
54,71037,6244,14358,268.955252705639,-56.5,43.5,54,54,5.18319198226213,50.9988001602202,1912,54,4146,54,3650,0.196950968273589,0.375978574371652,0.427070457354759,50.2224969097651,95.8745364647713,108.902966625464
55,24007,1466,9962,565.427037038593,-85.3,14.7,55,55,4.78704638926994,51.0107130025316,741,55,3419,55,527,0.158096863665458,0.112438660123747,0.729464476210796,40.3147002346917,28.6718583315554,186.013441433753
56,23045,6188,17869,492.349759824849,-65.4,34.6,56,56,4.28198422787775,51.0142594357611,2254,56,5416,56,3137,0.208568520403442,0.290274821874711,0.501156657721847,53.1849727028778,74.0200795780513,127.794947719071
57,42004,3746,14237,563.765604184117,-73.7,26.3,57,57,4.20375553541287,51.0153756745573,1612,57,4370,57,1783,0.207598197037991,0.2296200901481,0.562781712813909,52.9375402446877,58.5531229877656,143.509336767547
58,12005,4275,14722,503.03301023434,-71,29,58,58,4.56579571518231,51.0222946688692,1428,58,4242,58,2474,0.175343811394892,0.303781925343811,0.520874263261297,44.7126719056974,77.4643909626719,132.822937131631
59,51019,995,3483,151.425861650324,-71.4,28.6,59,59,3.7366398586595,50.7433601887263,321,59,700,59,500,0.211045364891519,0.328731097961867,0.460223537146614,53.8165680473373,83.8264299802761,117.357001972387
60,51017,817,5901,132.029257468664,-86.2,13.8,60,60,3.70481670893271,50.7156621309148,573,60,1415,60,159,0.266884024219842,0.0740568234746157,0.659059152305543,68.0554261760596,18.884489986027,168.060083837913
61,57095,575,3579,132.900728280395,-83.9,16.1,61,61,3.50172343259996,50.7370927723264,340,61,909,61,151,0.242857142857143,0.107857142857143,0.649285714285714,61.9285714285714,27.5035714285714,165.567857142857
62,54007,18285,56011,1397.50922443166,-67.4,32.6,62,62,3.25196134046267,50.735266131549,11383,62,6166,62,5919,0.485043463439577,0.252215783194137,0.262740753366286,123.686083177092,64.3150247145049,66.9988921084029
63,25112,21958,33231,794.929977699094,-33.9,66.1,63,63,4.59781005205753,50.7132260664521,4400,63,7941,63,16342,0.153400969215215,0.569745145207963,0.276853885576823,39.1172471498797,145.285012028031,70.5977408220897
64,63086,735,2542,140.272677503568,-71.1,28.9,64,64,5.88752500121921,50.3525602227036,325,64,465,64,254,0.311302681992337,0.243295019157088,0.445402298850575,79.382183908046,62.0402298850575,113.577586206897
65,52048,2147,10125,670.732087014852,-78.8,21.2,65,65,4.37121573644787,50.3758920903386,746,65,2916,65,1170,0.154387417218543,0.242135761589404,0.603476821192053,39.3687913907285,61.744619205298,153.886589403973
